pattern,district_count,districts
/hi/notice/,37,Amethi;Auraiya;Bahraich;Ballia;Banda;Bareilly;Basti;Bijnor;Budaun;Chandauli;Chitrakoot;Deoria;Etawah;Faizabad;Farrukhabad;Gonda;Hamirpur;Hapur;Hardoi;Hathras;Jaunpur;Kasganj;Kheri;Kushinagar;Lakhimpur Kheri;Maharajganj;Mahoba;Mathura;Meerut;Mirzapur;Saharanpur;Sambhal;Shamli;Siddharthnagar;Sonbhadra;Unnao;Varanasi
/hi/notice_category/,15,Balrampur;Barabanki;Etah;Ghazipur;Jalaun;Jhansi;Mainpuri;Moradabad;Muzaffarnagar;Pilibhit;Raebareli;Rampur;Shahjahanpur;Sitapur;Sultanpur
/,7,Agra;Allahabad;Amroha;Kannauj;Kaushambi;Lucknow;Shravasti
/en/notice/,2,Ghaziabad;Mau
/event/events-announcements-houselisting-housing-census/,1,Aligarh
/notice/corrigendum-e-lottery-for-the-liquors-shops-of-excise-department-district-azamgarh/,1,Azamgarh
/employment-office/,1,Bhadohi
/district-election-officer/election-notice/,1,Fatehpur
/e-tender-for-mining/,1,Firozabad
/announcement/,1,Gorakhpur
/en/event/,1,Lalitpur
/auction-notice-office-of-the-district-judge-pratapgarh-2/,1,Pratapgarh
